unix_ts,elapsed_s,latency_s
1782339476.331,0.0,0.0995
1782339491.331,15.0,0.11999999999999941
1782339506.331,30.0,0.19397674418604655
1782339521.331,45.0,0.1937708333333334
1782339536.331,60.0,0.19369565217391302
1782339551.331,75.0,0.14239999999999992
1782339566.331,90.0,0.09967741935483872
1782339581.331,105.0,0.09985869565217392
1782339596.331,120.0,0.10666666666666783
1782339611.331,135.0,0.10133333333333355
1782339626.331,150.0,0.1730000000000001
1782339641.331,165.0,0.18294444444444452
1782339656.331,180.0,0.18442105263157899
1782339671.331,195.0,0.1770000000000001
1782339686.331,210.0,0.1406000000000005
1782339701.331,225.0,0.1232500000000003
1782339716.331,240.0,0.09965764331210192
1782339731.331,255.0,0.09966229508196722
1782339746.331,270.0,0.0995
1782339761.331,285.0,0.19489873417721518
1782339776.331,300.0,3.4924999999999957
1782339791.331,315.0,4.002894736842101
1782339806.331,330.0,4.360655737704915
1782339821.331,345.0,4.752330827067667
1782339836.331,360.0,4.71741935483871
1782339851.331,375.0,4.67326732673267
1782339866.331,390.0,1.9607766990291249
1782339881.331,405.0,0.19780000000000006
1782339896.331,420.0,0.3782187499999994
1782339911.331,435.0,0.3921666666666666
1782339926.331,450.0,0.38329999999999953
1782339941.331,465.0,0.18865306122448944
1782339956.331,480.0,0.13984615384615426
1782339971.331,495.0,0.09972637195121951
1782339986.331,510.0,0.09959287054409006
1782340001.331,525.0,0.0995
1782340016.331,540.0,0.0995
1782340031.331,555.0,0.0995
1782340046.331,570.0,0.0995
1782340061.331,585.0,0.18885714285714283
1782340076.331,600.0,0.19649206349206347
1782340091.331,615.0,0.19654687500000004
1782340106.331,630.0,0.19380555555555548
1782340121.331,645.0,0.09980841121495328
1782340136.331,660.0,0.09966666666666667
