unix_ts,elapsed_s,latency_s
1782339476.45,0.0,0.1548627450980391
1782339491.45,15.0,0.1581024096385538
1782339506.45,30.0,0.0495
1782339521.45,45.0,0.0495
1782339536.45,60.0,0.0992820512820513
1782339551.45,75.0,0.1606448956694992
1782339566.45,90.0,0.1600851743725504
1782339581.45,105.0,0.1605286293658439
1782339596.45,120.0,0.16023163841807866
1782339611.45,135.0,0.15931071890595616
1782339626.45,150.0,0.1600280898876406
1782339641.45,165.0,0.15923728813559315
1782339656.45,180.0,0.15922841090013862
1782339671.45,195.0,0.0495
1782339686.45,210.0,0.0495
1782339701.45,225.0,0.0495
1782339716.45,240.0,0.0495
1782339731.45,255.0,0.04950000000000001
1782339746.45,270.0,0.0495
1782339761.45,285.0,0.0495
1782339776.45,300.0,0.04950000000000001
1782339791.45,315.0,0.09986149584487534
1782339806.45,330.0,0.15745263157894768
1782339821.45,345.0,0.1598077913028504
1782339836.45,360.0,0.158542000046839
1782339851.45,375.0,0.049499999999999995
1782339866.45,390.0,0.15657788944723616
1782339881.45,405.0,0.15599014778325182
1782339896.45,420.0,0.15555943146944756
1782339911.45,435.0,0.13407142857142965
1782339926.45,450.0,0.15665726903591326
1782339941.45,465.0,0.15340908091217292
1782339956.45,480.0,0.1504561127490686
1782339971.45,495.0,0.152473913043478
1782339986.45,510.0,0.155509900990099
1782340001.45,525.0,0.15504088176403102
1782340016.45,540.0,0.0495
1782340031.45,555.0,0.0495
1782340046.45,570.0,0.0495
1782340061.45,585.0,0.0495
1782340076.45,600.0,0.0495
1782340091.45,615.0,0.1526487603305786
1782340106.45,630.0,0.15624170616113742
1782340121.45,645.0,0.15535785876434638
1782340136.45,660.0,0.15422058823529403
