unix_ts,elapsed_s,queue_depth
1782340400.042,0.0,0.0
1782340415.042,15.0,0.0
1782340430.042,30.0,1.0
1782340445.042,45.0,0.0
1782340460.042,60.0,0.0
1782340475.042,75.0,1.0
1782340490.042,90.0,1.0
1782340505.042,105.0,1.0
1782340520.042,120.0,0.0
1782340535.042,135.0,0.0
1782340550.042,150.0,0.0
1782340565.042,165.0,0.0
1782340580.042,180.0,0.0
1782340595.042,195.0,0.0
1782340610.042,210.0,1.0
1782340625.042,225.0,1.0
1782340640.042,240.0,1.0
1782340655.042,255.0,1.0
1782340670.042,270.0,1.0
1782340685.042,285.0,25.0
1782340700.042,300.0,49.0
1782340715.042,315.0,48.0
1782340730.042,330.0,50.0
1782340745.042,345.0,49.0
1782340760.042,360.0,48.0
1782340775.042,375.0,50.0
1782340790.042,390.0,49.0
1782340805.042,405.0,49.0
1782340820.042,420.0,48.0
1782340835.042,435.0,48.0
1782340850.042,450.0,9.0
1782340865.042,465.0,1.0
1782340880.042,480.0,1.0
1782340895.042,495.0,1.0
1782340910.042,510.0,0.0
1782340925.042,525.0,0.0
1782340940.042,540.0,1.0
1782340955.042,555.0,0.0
1782340970.042,570.0,0.0
1782340985.042,585.0,0.0
1782341000.042,600.0,1.0
1782341015.042,615.0,0.0
1782341030.042,630.0,0.0
1782341045.042,645.0,0.0
1782341060.042,660.0,0.0
