unix_ts,elapsed_s,cpu_cores
1782340399.997,0.0,2.0
1782340414.997,15.0,2.0
1782340429.997,30.0,2.0
1782340444.997,45.0,2.0
1782340459.997,60.0,2.0
1782340474.997,75.0,2.0
1782340489.997,90.0,2.0
1782340504.997,105.0,2.0
1782340519.997,120.0,2.0
1782340534.997,135.0,2.0
1782340549.997,150.0,2.0
1782340564.997,165.0,2.0
1782340579.997,180.0,2.0
1782340594.997,195.0,2.0
1782340609.997,210.0,2.0
1782340624.997,225.0,2.0
1782340639.997,240.0,2.0
1782340654.997,255.0,2.0
1782340669.997,270.0,2.0
1782340684.997,285.0,2.0
1782340699.997,300.0,2.0
1782340714.997,315.0,2.0
1782340729.997,330.0,2.0
1782340744.997,345.0,2.0
1782340759.997,360.0,2.0
1782340774.997,375.0,2.0
1782340789.997,390.0,2.0
1782340804.997,405.0,2.0
1782340819.997,420.0,2.0
1782340834.997,435.0,2.0
1782340849.997,450.0,2.0
1782340864.997,465.0,2.0
1782340879.997,480.0,2.0
1782340894.997,495.0,2.0
1782340909.997,510.0,2.0
1782340924.997,525.0,2.0
1782340939.997,540.0,2.0
1782340954.997,555.0,2.0
1782340969.997,570.0,2.0
1782340984.997,585.0,2.0
1782340999.997,600.0,2.0
1782341014.997,615.0,2.0
1782341029.997,630.0,2.0
1782341044.997,645.0,2.0
1782341059.997,660.0,2.0
