unix_ts,elapsed_s,req_per_s
1782340400.026,0.0,2.1334755650376693
1782340415.026,15.0,6.933333333333334
1782340430.026,30.0,6.734231230830777
1782340445.026,45.0,6.4
1782340460.026,60.0,6.333755583705581
1782340475.026,75.0,6.533333333333333
1782340490.026,90.0,5.733715581038736
1782340505.026,105.0,6.333333333333333
1782340520.026,120.0,6.333755583705581
1782340535.026,135.0,6.800453363557571
1782340550.026,150.0,6.6008801173489795
1782340565.026,165.0,6.99953336444237
1782340580.026,180.0,6.534204560608081
1782340595.026,195.0,6.466666666666667
1782340610.026,210.0,6.934257901053473
1782340625.026,225.0,6.733333333333333
1782340640.026,240.0,6.933333333333334
1782340655.026,255.0,6.800453363557571
1782340670.026,270.0,8.66724448296553
1782340685.026,285.0,26.133333333333333
1782340700.026,300.0,31.402093472898194
1782340715.026,315.0,30.868724581638777
1782340730.026,330.0,32.268817921194746
1782340745.026,345.0,31.466666666666665
1782340760.026,360.0,32.06880458697247
1782340775.026,375.0,28.0
1782340790.026,390.0,27.401826788452567
1782340805.026,405.0,28.20188012534169
1782340820.026,420.0,29.801986799119945
1782340835.026,435.0,28.93526235082339
1782340850.026,450.0,22.734848989932665
1782340865.026,465.0,17.266666666666666
1782340880.026,480.0,15.001000066671113
1782340895.026,495.0,13.933333333333334
1782340910.026,510.0,9.000600040002668
1782340925.026,525.0,7.133808920594706
1782340940.026,540.0,7.200480032002134
1782340955.026,555.0,7.000000000000002
1782340970.026,570.0,7.200480032002134
1782340985.026,585.0,6.6
1782341000.026,600.0,7.467164477631843
1782341015.026,615.0,7.066666666666666
1782341030.026,630.0,6.934257901053473
1782341045.026,645.0,7.466666666666667
1782341060.026,660.0,7.267151143409561
