unix_ts,elapsed_s,dropped_per_s
1782340400.06,0.0,0.0
1782340415.06,15.0,0.0
1782340430.06,30.0,0.0
1782340445.06,45.0,0.0
1782340460.06,60.0,0.0
1782340475.06,75.0,0.0
1782340490.06,90.0,0.0
1782340505.06,105.0,0.0
1782340520.06,120.0,0.0
1782340535.06,135.0,0.0
1782340550.06,150.0,0.0
1782340565.06,165.0,0.0
1782340580.06,180.0,0.0
1782340595.06,195.0,0.0
1782340610.06,210.0,0.0
1782340625.06,225.0,0.0
1782340640.06,240.0,0.0
1782340655.06,255.0,0.0
1782340670.06,270.0,0.0
1782340685.06,285.0,0.0
1782340700.06,300.0,5.267017801186746
1782340715.06,315.0,5.333688912594173
1782340730.06,330.0,6.667111140742716
1782340745.06,345.0,6.2
1782340760.06,360.0,6.60044002933529
1782340775.06,375.0,2.6
1782340790.06,390.0,2.400160010667378
1782340805.06,405.0,3.0002000133342226
1782340820.06,420.0,4.800320021334756
1782340835.06,435.0,4.266951130075339
1782340850.06,450.0,0.0
1782340865.06,465.0,0.0
1782340880.06,480.0,0.0
1782340895.06,495.0,0.0
1782340910.06,510.0,0.0
1782340925.06,525.0,0.0
1782340940.06,540.0,0.0
1782340955.06,555.0,0.0
1782340970.06,570.0,0.0
1782340985.06,585.0,0.0
1782341000.06,600.0,0.0
1782341015.06,615.0,0.0
1782341030.06,630.0,0.0
1782341045.06,645.0,0.0
1782341060.06,660.0,0.0
