unix_ts,elapsed_s,latency_s
1782340400.076,0.0,0.09762499999999999
1782340415.076,15.0,0.0495
1782340430.076,30.0,0.0495
1782340445.076,45.0,0.0495
1782340460.076,60.0,0.0495
1782340475.076,75.0,0.09728846153846152
1782340490.076,90.0,0.0495
1782340505.076,105.0,0.04950000000000001
1782340520.076,120.0,0.04950000000000001
1782340535.076,135.0,0.0495
1782340550.076,150.0,0.0495
1782340565.076,165.0,0.04950000000000001
1782340580.076,180.0,0.0495
1782340595.076,195.0,0.049499999999999995
1782340610.076,210.0,0.0495
1782340625.076,225.0,0.0495
1782340640.076,240.0,0.09775714285714288
1782340655.076,255.0,0.0495
1782340670.076,270.0,0.0495
1782340685.076,285.0,0.04950000000000001
1782340700.076,300.0,0.0495
1782340715.076,315.0,0.0495
1782340730.076,330.0,0.0495
1782340745.076,345.0,0.09929227053140097
1782340760.076,360.0,0.09928832116788322
1782340775.076,375.0,0.049499999999999995
1782340790.076,390.0,0.04950000000000001
1782340805.076,405.0,0.0495
1782340820.076,420.0,0.0495
1782340835.076,435.0,0.049499999999999995
1782340850.076,450.0,0.04950000000000001
1782340865.076,465.0,0.0495
1782340880.076,480.0,0.0495
1782340895.076,495.0,0.0495
1782340910.076,510.0,0.04950000000000001
1782340925.076,525.0,0.04950000000000001
1782340940.076,540.0,0.0495
1782340955.076,555.0,0.0495
1782340970.076,570.0,0.0495
1782340985.076,585.0,0.0495
1782341000.076,600.0,0.0495
1782341015.076,615.0,0.04950000000000001
1782341030.076,630.0,0.0495
1782341045.076,645.0,0.04950000000000001
1782341060.076,660.0,0.0495
