unix_ts,elapsed_s,latency_s
1782341181.383,0.0,0.13618396226415122
1782341196.383,15.0,0.0495
1782341211.383,30.0,0.049499999999999995
1782341226.383,45.0,0.049499999999999995
1782341241.383,60.0,0.0495
1782341256.383,75.0,0.0495
1782341271.383,90.0,0.0495
1782341286.383,105.0,0.0495
1782341301.383,120.0,0.09829761904761906
1782341316.383,135.0,0.09815000000000002
1782341331.383,150.0,0.09799999999999999
1782341346.383,165.0,0.049499999999999995
1782341361.383,180.0,0.0495
1782341376.383,195.0,0.0495
1782341391.383,210.0,0.0495
1782341406.383,225.0,0.0495
1782341421.383,240.0,0.0495
1782341436.383,255.0,0.0495
1782341451.383,270.0,0.0495
1782341466.383,285.0,0.0495
1782341481.383,300.0,0.0495
1782341496.383,315.0,0.09921293800539083
1782341511.383,330.0,0.0495
1782341526.383,345.0,0.0495
1782341541.383,360.0,0.0495
1782341556.383,375.0,0.0495
1782341571.383,390.0,0.0495
1782341586.383,405.0,0.0495
1782341601.383,420.0,0.0994981981981982
1782341616.383,435.0,0.09949643493761141
1782341631.383,450.0,0.09907363013698631
1782341646.383,465.0,0.09853105590062111
1782341661.383,480.0,0.0495
1782341676.383,495.0,0.0495
1782341691.383,510.0,0.0495
1782341706.383,525.0,0.04950000000000001
1782341721.383,540.0,0.0495
1782341736.383,555.0,0.049499999999999995
1782341751.383,570.0,0.049499999999999995
1782341766.383,585.0,0.0495
1782341781.383,600.0,0.09961688311688312
1782341796.383,615.0,0.09961538461538462
1782341811.383,630.0,0.0495
1782341826.383,645.0,0.049499999999999995
1782341841.383,660.0,0.0495
