unix_ts,elapsed_s,latency_s
1782341181.267,0.0,0.3259999999999993
1782341196.267,15.0,0.18740000000000012
1782341211.267,30.0,0.1677999999999993
1782341226.267,45.0,0.09966666666666667
1782341241.267,60.0,0.0995
1782341256.267,75.0,0.0995
1782341271.267,90.0,0.0995
1782341286.267,105.0,0.0995
1782341301.267,120.0,0.0995
1782341316.267,135.0,0.0995
1782341331.267,150.0,0.0995
1782341346.267,165.0,0.0995
1782341361.267,180.0,0.0995
1782341376.267,195.0,0.0995
1782341391.267,210.0,0.0995
1782341406.267,225.0,0.09966229508196721
1782341421.267,240.0,0.09981629392971247
1782341436.267,255.0,0.09982673267326733
1782341451.267,270.0,0.09975384615384617
1782341466.267,285.0,1.9284615384615376
1782341481.267,300.0,4.136363636363632
1782341496.267,315.0,4.741559633027521
1782341511.267,330.0,4.821898734177213
1782341526.267,345.0,4.884444444444443
1782341541.267,360.0,4.8776190476190475
1782341556.267,375.0,4.927357859531773
1782341571.267,390.0,4.924444444444445
1782341586.267,405.0,4.944687499999999
1782341601.267,420.0,4.9115697674418595
1782341616.267,435.0,4.908288288288287
1782341631.267,450.0,4.796219512195121
1782341646.267,465.0,4.72264150943396
1782341661.267,480.0,1.9419565217391301
1782341676.267,495.0,0.09987556904400607
1782341691.267,510.0,0.09977757009345796
1782341706.267,525.0,0.0995
1782341721.267,540.0,0.0995
1782341736.267,555.0,0.09965615141955836
1782341751.267,570.0,0.09965764331210192
1782341766.267,585.0,0.09965967741935484
1782341781.267,600.0,0.0996551724137931
1782341796.267,615.0,0.0996551724137931
1782341811.267,630.0,0.09965372670807454
1782341826.267,645.0,0.09965372670807454
1782341841.267,660.0,0.09983333333333334
